,Registration_date,Longitude,Latitude,Annual_underground_extraction_m3,Entitlement,Permited_use,Municipality_name,Year
60,1995-11-28,-99.15583333333333,19.498611111111114,108273.0,"TEXTIL LANERA, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1995
61,1995-11-28,-99.15583333333333,19.498333333333335,108273.0,"TEXTIL LANERA, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1995
62,1995-08-15,-99.18583333333333,19.442222222222224,22457.0,"PIRAMIDE, S.A. DE C.V.",INDUSTRIAL,TLÁHUAC,1995
63,1997-06-03,-99.16083333333334,19.49416666666667,240.0,"PISOS ALFER, S.A. DE C.V. /GUILLERMO FERNANDEZ DE LA PARRA",INDUSTRIAL,AZCAPOTZALCO,1997
64,1996-11-21,-99.12555555555555,19.41611111111111,64800.0,"FABRICA NACIONAL DE MALTA, S. A. DE C. V.",INDUSTRIAL,CUAUHTÉMOC,1996
65,1996-11-21,-99.12555555555555,19.41611111111111,64800.0,"FABRICA NACIONAL DE MALTA, S. A. DE C. V.",INDUSTRIAL,CUAUHTÉMOC,1996
66,1998-01-20,-99.15694444444445,19.471944444444443,1100.0,"ADMINISTRADORA DE INMUEBLES HOTAN, S. A.",INDUSTRIAL,AZCAPOTZALCO,1998
67,1996-11-21,-99.21111111111111,19.459444444444443,26730.0,ANA MARIA SOTRES DE DEL VALLE,INDUSTRIAL,TLÁHUAC,1996
68,1999-01-13,-98.88666666666667,19.506666666666668,571.0,"HERMUN, S. C.",INDUSTRIAL,CUAUHTÉMOC,1999
69,1994-12-22,-99.14111111111112,19.31388888888889,486880.0,"PROPIMEX, S. A. DE C. V.",INDUSTRIAL,COYOACÁN,1994
70,1994-12-22,-99.14111111111112,19.31361111111111,486880.0,"PROPIMEX, S. A. DE C. V.",INDUSTRIAL,COYOACÁN,1994
71,1999-08-30,-99.13333333333334,19.416666666666668,15000.0,"INMUEBLES CANTABRIA, S. A. DE C. V.",INDUSTRIAL,CUAUHTÉMOC,1999
72,1994-12-22,-99.15944444444445,19.36138888888889,110000.0,"PROPIMEX, S.A. DE C.V.",INDUSTRIAL,BENITO JUÁREZ,1994
73,1995-04-07,-99.10805555555555,19.398888888888887,50000.0,"TENERIA MERCURIO, S.A. DE C.V.",INDUSTRIAL,IZTACALCO,1995
74,1997-10-21,-99.15111111111112,19.4475,8295.0,FERROCARRILES NACIONALES DE MEXICO,SERVICIOS,IZTACALCO,1997
75,1994-05-23,-99.13861111111112,19.41444444444444,4060.0,"SUPER BAÑOS CALETA, S.A. DE C.V.",INDUSTRIAL,IZTACALCO,1994
76,1994-11-11,-99.16000000000001,19.45611111111111,817255.0,"PROPIMEX, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1994
77,1994-11-11,-99.15972222222223,19.45583333333333,817255.0,"PROPIMEX, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1994
78,1995-09-07,-99.15333333333334,19.487222222222222,1687356.0,"INMOBILIARIA SAN ANTOLIN, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1995
79,1995-09-07,-99.1525,19.4875,1687356.0,"INMOBILIARIA SAN ANTOLIN, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1995
80,1996-11-05,-99.15972222222223,19.454722222222223,4495.0,"PROPIMEX, S. A. DE C. V.",INDUSTRIAL,IZTACALCO,1996
81,1996-08-07,-99.22055555555556,19.325555555555557,290.0,DR. GUSTAVO BAZ DIAZ LOMBARDO,DOMÉSTICO,ÁLVARO OBREGÓN,1996
82,2001-11-13,-99.19666666666667,19.477777777777778,38000.0,"COMPAÑÍA HULERA TORNEL, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,2001
83,1995-04-18,-99.15222222222222,19.418472222222224,95562.0,"CERVECERÍA MODELO, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1995
84,1995-07-12,-99.20158333333333,19.345416666666665,1700.0,"FUNDACIÓN DE AYUDA A LA ANCIANIDAD, INSTITUCIÓN DE ASISTENCIA PRIVADA",DOMÉSTICO,ÁLVARO OBREGÓN,1995
85,1996-11-02,-99.17361111111111,19.43777777777778,21600.0,"INMOBILIARIA MOTKE, S. A. DE C. V.",INDUSTRIAL,TLÁHUAC,1996
86,1995-11-06,-99.20397222222222,19.44436111111111,468340.0,"VIDRIERA MÉXICO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1995
87,1995-11-06,-99.20461111111112,19.4445,468340.0,"VIDRIERA MÉXICO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1995
88,1996-05-06,-99.21300000000001,19.461111111111112,42052.0,"HERDEZ, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
89,1995-08-27,-99.08436111111111,19.32413888888889,315360.0,"FERMIC, S.A. DE C.V.",INDUSTRIAL,IZTAPALAPA,1995
90,1996-08-14,-99.19500000000001,19.475277777777777,38669.0,"GENERAL DE INMUEBLES INDUSTRIALES, S.A. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1996
91,1995-09-07,-99.14,19.456666666666667,7520.0,"HARINERA NACIONAL, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1995
92,1995-09-07,-99.13972222222223,19.456944444444442,7520.0,"HARINERA NACIONAL, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1995
93,1996-08-07,-99.19694444444445,19.35527777777778,1002.0,TEODORO AMERLINCK Y ZIRION,INDUSTRIAL,ÁLVARO OBREGÓN,1996
94,1996-05-17,-99.29388888888889,19.32638888888889,75.0,MARÍA DELFINA RAMÍREZ CRUZ,AGRÍCOLA,ÁLVARO OBREGÓN,1996
95,1996-05-16,-99.14227777777778,19.35638888888889,25000.0,"ESTUDIOS CHURUBUSCO AZTECA, S.A.",SERVICIOS,COYOACÁN,1996
96,1994-11-24,-99.24166666666667,19.38611111111111,13530.0,"SYNTEX, S.A. DE C.V.",INDUSTRIAL,TLÁHUAC,1994
97,1995-04-19,-99.19833333333334,19.45722222222222,455008.0,"MICHELIN MEXICO SERVICES, S.A. DE C.V.",INDUSTRIAL,TLÁHUAC,1995
98,1995-04-19,-99.19916666666667,19.4575,455008.0,"MICHELIN MEXICO SERVICES, S.A. DE C.V.",INDUSTRIAL,TLÁHUAC,1995
99,1995-09-07,-99.11999999999999,19.451944444444443,16200.0,"EMPAQUES DE CARTON UNITED, S.A. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1995
100,1996-11-27,-99.12252777777778,19.462916666666665,6523.0,"DEACERO, S.A. DE C.V.",INDUSTRIAL,GUSTAVO A. MADERO,1996
101,2003-02-04,-99.08433333333333,19.356250000000003,50000.0,"MALLINCKRODT MEDICAL, S. A. DE C.V.",INDUSTRIAL,IZTAPALAPA,2003
102,1997-09-10,-99.19416666666667,19.478888888888886,216415.0,"ELECTROPURA, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1997
103,1997-09-10,-99.19444444444444,19.479166666666664,216415.0,"ELECTROPURA, S. DE R.L. DE C.V.",INDUSTRIAL,AZCAPOTZALCO,1997
104,2007-08-14,-99.11963888888889,19.451583333333332,17000.0,"EMPAQUES DE CARTON UNITED, S. A DE C.V.",INDUSTRIAL,VENUSTIANO CARRANZA,2007
105,1996-05-17,-99.15361111111112,19.497222222222224,250.0,"MOLINO HERCULES, S.A.",INDUSTRIAL,GUSTAVO A. MADERO,1996
106,1995-07-27,-99.13944444444445,19.421111111111113,15012.0,"TIENDAS AURRERÁ, S. DE R.L. DE C.V.",INDUSTRIAL,CUAUHTÉMOC,1995
107,1996-10-02,-99.2125,19.45777777777778,130291.0,"TIZAYUCA TEXTIL VUVA, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,1996
